Conference,2018,2019,2020,2021,2022,2023
IPDPSW 2018 - IEEE International Parallel and Distributed Processing Symposium Workshops,AVALON (1) ROMA (1),,,,,
IPDPSW 2018 - International Parallel and Distributed Processing Symposium Workshops,DATAMOVE (1),,,,,
IPDPSW 2018 IEEE International Parallel and Distributed Processing Symposium Workshops,Realopt (1) ROMA (1),,,,,
IPDPSW 2019 - IEEE International Parallel and Distributed Processing Symposium Workshops,,KerData (1),,,,
"IPDPSW 2019 - IEEE International Symposium on Parallel and Distributed Processing, Workshops and Phd Forum",,CAMUS (1),,,,
IPDPSW 2019 - International Parallel and Distributed Processing Symposium Workshops,,DATAMOVE (1) CORSE (1),,,,
IPDPSW 2020 - IEEE International Parallel and Distributed Processing Symposium Workshops,,,DATAMOVE (1),,,
IPDPSW 2022 - IEEE International Parallel and Distributed Processing Symposium Workshops,,,,,STORM (2) CONCACE (1),
IPDPSw PDCO - Parallel / Distributed Combinatorics and Optimization,,,,,BONUS (1),
IPEC 2018 - 13th International Symposium on Parameterized and Exact Computation,GANG (1),,,,,
IPEC 2023 - 18th International Symposium on Parameterized and Exact Computation,,,,,,PIXEL (1)
IPIN 2018,SOCRATE (1),,,,,
IPIN 2018 - 9th International Conference on Indoor Positioning and Indoor Navigation,DATASHAPE (1) PERVASIVE (1),,,,,
IPIN 2018 - International Conference on Indoor Positioning and Indoor Navigation,NECS (1),,,,,
IPIN 2018 : Ninth International Conference on Indoor Positioning and Indoor Navigation,RITS (1) PERVASIVE (1),,,,,
IPIN 2019 - 10th International Conference on Indoor Positioning and Indoor Navigation,,DATASHAPE (1),,,,
IPIN 2019 - International Conference on Indoor Positioning and Indoor Navigation,,NECS-POST (1),,,,
IPIN 2021: 9th International Conference on Indoor Positioning and Indoor Navigation,,,,DIONYSOS (1),,
IPIN 2023 - 13th International Conference on Indoor Positioning and Indoor Navigation,,,,,,DANCE (1) AGORA (1) CHROMA (1)
IPIN 2023: 13th International Conference on Indoor Positioning and Indoor Navigation,,,,,,AGORA (1)
IPMI 2019 - 26th International Conference on Information Processing in Medical Imaging,,PARIETAL (1),,,,
IPMI 2019 - 26th international conference on Information Processing in Medical Imaging,,PARIETAL (1),,,,
IPMI 2019 - International Conference on Information Processing in Medical Imaging,,PARIETAL (1) EPIONE (1) CELESTE (1),,,,
IPMI 2019 : Information Processing in Medical Imaging,,ARAMIS (1),,,,
IPMI 2021 - 27th international conference on Information Processing in Medical Imaging,,,,PARIETAL (1),,
IPMU 2018 - 17th International Conference on Information Processing and Management of Uncertainty in Knowledge-Based Systems,BONUS (1),,,,,
IPMU 2018: 17th Information Processing and Management of Uncertainty in Knowledge-Based Systems Conference.,Flowers (1),,,,,
IPSN 2023 - ACM/IEEE International Conference on Information Processing in Sensor Networks,,,,,,AIO (1)
IPrA 2021 - 17th International Pragmatics Conference,,,,MULTISPEECH (1),,
IRACON 2018 - 6th MC and 6th Technical Meeting,SOCRATE (1),,,,,
IRC 2023 - 16th International Rapeseed Congress,,,,,,ZENITH (1)
IRMBAM 2023 - 12th International Research Meeting in Business and Management,,,,,,Mnemosyne (1)
IRMMW-THz,,,,GeoStat (1),,
"IRMMW-THz 2019 - 44th International Conference on Infrared, Millimeter, and Terahertz Waves",,MISTIS (1),,,,
IROS,HEPHAISTOS (1),,,,,
IROS - IEEE/RSJ International Conference on Intelligent Robots and Systems,,,,,Thoth (1),
IROS 2018 - IEEE/RSJ International Conference on Intelligent Robots and Systems,MIMESIS (2) RAINBOW (2) NEUROSYS (1) DEFROST (1) CHROMA (1) PERCEPTION (1),,,,,
IROS 2018 Workshop on Multi-Robot Perception- Driven Control and Planning,RAINBOW (1),,,,,
IROS 2018- IEEE/RSJ International Conference on Intelligent Robots and Systems; Workshop on Assistance and Service Robotics in a Human Environment,PERVASIVE (1),,,,,
IROS 2019 - 2019 IEEE/RSJ International Conference on Intelligent Robots and Systems,,MAGRIT-POST (1),,,,
IROS 2019 - IEEE/RSJ International Conference on Intelligent Robots and Systems,,CHROMA (3) RAINBOW (2) HEPHAISTOS (1) Thoth (1) WILLOW (1) PERVASIVE (1) CHORALE (1),,,,
IROS 2020 -  International Conference on Intelligent Robots and Systems,,,WILLOW (1),,,
IROS 2020 - IEEE/RSJ International Conference on Intelligent Robots and Systems,,,CHROMA (2) RAINBOW (2) MIMETIC (1) NECS-POST (1),,,
IROS 2020 - International Conference on Intelligent Robots and Systems,,,TITANE (1),,,
IROS 2020 – 2020 IEEE/RSJ International Conference on Intelligent Robots and Systems,,,MAGRIT (1) MAGRIT-POST (1),,,
IROS 2021 -  IEEE/RSJ International Conference on Intelligent Robots and Systems,,,,DANTE (1) CHROMA (1),,
IROS 2021 - IEEE/RSJ International Conference on Intelligent Robots and Systems,,,,DEFROST (1) RAINBOW (1) CHORALE (1) ACENTAURI (1),,
"IROS 2021 - IEEE/RSJ International Conference on Intelligent Robots and Systems - Interactive session on ""Future advances and research directions for autonomous robotics""",,,,CHROMA (1),,
"IROS 2021 - IEEE/RSJ International Conference on Intelligent Robots and Systems - Workshop ""Perception and Navigation for Autonomous Robotics in Unstructured and Dynamic Environments""",,,,CHROMA (1),,
IROS 2022 - 2022 IEEE/RSJ International Conference on Intelligent Robots and Systems,,,,,ACENTAURI (1),
IROS 2022 - IEEE/RSJ International Conference on Intelligent Robots and Systems,,,,,RAINBOW (3) CHROMA (1),
IROS 2022 - International Conference on Intelligent Robots and Systems,,,,,TANGRAM (1),
IROS 2022 – IEEE/RSJ International Conference on Intelligent Robots and Systems,,,,,RAINBOW (1),
IROS 2023 - IEEE/RSJ International Conference on Intelligent Robots and Systems,,,,,,RAINBOW (7) Flowers (1) ACENTAURI (1) CHROMA (1)
IROS Workshop CrowdNav,CHROMA (1),,,,,
"IROS Workshop on Bringing geometric methods to robot learning, optimization and control",,,ARAMIS (1),,,
IROS'18 - IEEE/RSJ Int. Conf. on Intelligent Robots and SystemsIROS'18,RAINBOW (1),,,,,
IROS'18 - IEEE/RSJ International Conference on Intelligent Robots and Systems,RAINBOW (3) MIMETIC (1),,,,,
IROS: Intelligent Robots and Systems,CAMIN (1),,,,,
IRT Nanoelec 2021 -  Annual Meeting Nanoelec Institut de recherche technologique,,,,CHROMA (1),,
IRT Nanoelec Annual Meeting,,,CHROMA (1),,,
IS 2018 - SIAM Conference on Imaging Science,SERPICO (1),,,,,
IS 2020 - SIAM Conference on Imaging Science,,,MORPHEME (1) FACTAS (1),,,
IS 2022 - SIAM Conference on Imaging Science,,,,,SERPICO (1),
IS Auto Europe 2019 - Image Sensors Automotive Conference,,CHROMA (1),,,,
IS&T/Appamat International Workshop on Material Appearance,,,,,,MANAO (1)
ISA 2021 - 17th Workshop on Interoperable Semantic Annotation,,,,SEMAGRAMME (1),,
ISA 2022: 18th Joint ACL - ISO Workshop on Interoperable Semantic Annotation,,,,,SEMAGRAMME (2),
ISAAC 2018 - 29th International Symposium on Algorithms and Computation,TAPDANCE (1),,,,,
ISAAC 2023 - 34th International Symposium on Algorithms and Computation,,,,,,ERABLE (1)
ISABE 2019 - 24th ISABE Conference,,GAMMA (1),,,,
ISAGA 2023 - 54th edition of the International Simulation and Gaming for Social and Environmental Transitions,,,,,,STEEP (1)
ISAGA 2023 - Simulation and Gaming for Social and Environmental Transitions,,,,,,STEEP (1)
ISATT 2022 - L'éthique inclusive comme nouvel horizon éducatif pour les enseignants et pour l'enseignement,,,,,Flowers (1),
ISAV 2018 - In Situ Infrastructures for Enabling Extreme-scale Analysis and Visualization,DATAMOVE (1),,,,,
ISAV 2020 -  In Situ Infrastructures for Enabling Extreme-Scale Analysis and Visualization,,,DATAMOVE (1),,,
ISB 2021 - XXVIII Congress of the International Society of Biomechanics,,,,MIMETIC (3),,
ISBA 2021 - World Meeting of the International Society for Bayesian Analysis,,,,STATIFY (2),,
ISBA 2022 - World Meeting International Society for Bayesian Analysis,,,,,STATIFY (1),
ISBI 2018 - IEEE 15th International Symposium on Biomedical Imaging,SERPICO (2) MORPHEME (2),,,,,
ISBI 2018 - IEEE International Symposium on Biomedical Imaging,ATHENA (1) VisAGeS (1),,,,,
ISBI 2019 - 16th IEEE International Symposium on Biomedical Imaging,,Empenn (5),,,,
ISBI 2019 - IEEE 16th International Symposium on Biomedical Imaging,,ATHENA (1),,,,
ISBI 2019 - IEEE International Symposium on Biomedical Imaging,,PARIETAL (3) ATHENA (2) MORPHEME (2) OPIS (2) MISTIS (1),,,,
ISBI 2019 - International Symposium on Biomedical Imaging,,ARAMIS (1),,,,
ISBI 2020 - IEEE 17th International Symposium on Biomedical Imaging,,,SERPICO (1),,,
ISBI 2020 - IEEE International Symposium on Biomedical Imaging,,,ATHENA (1) PANAMA (1) Hybrid (1) Empenn (1) STATIFY (1),,,
ISBI 2020 - International Symposium on Biomedical Imaging,,,PARIETAL (1) ARAMIS (1) OPIS (1),,,
ISBI 2021 - 18th IEEE International Symposium on Biomedical Imaging,,,,ATHENA (2) EPIONE (2) MORPHEME (1),,
ISBI 2021 - 18th International Symposium on Biomedical Imaging,,,,STATIFY (1),,
ISBI 2021 - IEEE International Symposium on Biomedical Imaging,,,,OPIS (2) SERPICO (1) BEAGLE (1) Empenn (1),,
ISBI 2021 - International Symposium on Biomedical Imaging,,,,STATIFY (1) OPIS (1),,
ISBI 2022 - IEEE 19th International Symposium on Biomedical Imaging,,,,,MORPHEME (1) OPIS (1) MOSAIC (1) MIND (1),
ISBI 2022 - IEEE International Symposium on Biomedical Imaging,,,,,EMPENN (3),
ISBI 2022 - IEEE International Symposium on Biomedical Imaging 2022,,,,,PARIETAL (1) MIND (1),
ISBI 2022 - International Symposium on Biomedical Imaging,,,,,ARAMIS (2),
ISBI 2023 - 20th IEEE International Symposium on Biomedical Imaging,,,,,,MONC (1) EMPENN (1)
ISBI 2023 - IEEE 20th International Symposium on Biomedical Imaging,,,,,,ARAMIS (1) STATIFY (1)
ISBI 2023 - IEEE International Symposium on Biomedical Imaging,,,,,,ARAMIS (1) OPIS (1) TAU (1)
ISBI 2023 - International Symposium on Biomedical Imaging,,,,,,PARIETAL (1) MIND (1)
ISBI19 - 16th IEEE International Symposium on Biomedical Imaging,,MONC (1),,,,
ISBI’18 - IEEE International Symposium on Biomedical Imaging,GALEN-POST (1),,,,,
ISC 2019 - International Conference on Information Security,,CASCADE (1),,,,
ISC 2021 -  Information Security  24th International Conference,,,,GRACE (1),,
ISC 2021 SuperCompCloud - 4th Workshop on Interoperability of Supercomputing and Cloud Technologies,,,,KerData (1),,
ISC High Performance 2018 International Workshops - WOPSSS'18,MADYNES (1) RESIST (1),,,,,
ISCAS 2018 - IEEE International Symposium on Circuits and Systems,SECRET (1) CAIRN (1),,,,,
ISCAS 2021 - IEEE International Symposium on Circuits and Systems,,,,MULTISPEECH (1),,
ISCB 2020 - 41th Annual Conference of the International Society for Clinical Biostatistics,,,SISTM (1),,,
ISCB 2021:  42nd Conference of the International Society for Clinical Biostatistics,,,,ARAMIS (1),,
ISCC 2019 - 24th Symposium on Computers and Communications,,FUN (1),,,,
ISCC 2020 - 25th IEEE Symposium on Computers and Communications,,,COATI (1),,,
ISCC 2020 - IEEE Symposium on Computers and Communications,,,LS2N - équipe STACK (1) WIDE (1),,,
ISCC 2021 - 26th IEEE Symposium on Computers and Communications,,,,LS2N - équipe STACK (1) AGORA (1),,
ISCC 2021 - IEEE Symposium on Computers and Communications,,,,AVALON (1) KAIROS (1) MYRIADS (1),,
ISCC 2022 - IEEE Symposium on Computers and Communications,,,,,MYRIADS (1),
ISCC 2023 - 28th IEEE Symposium on Computers and Communications,,,,,,MYRIADS (2)
ISCC 2023 - IEEE Symposium on Computers and Communications,,,,,,ERMINE (2) STACK (1)
ISCO 2018 - 5th International Symposium on Combinatorial Optimization,Realopt (1),,,,,
ISCR 2023 - 14th International Symposium on Concrete Roads,,,,,,I4S (1)
ISCRAM 2018 - 15th International Conference on Information Systems for Crisis Response and Management,COAST (1),,,,,
ISD 2019 - 28th International Conference on Information Systems Development,,PETRUS (1),,,,
ISDA 2022 - 22nd International Conference on Intelligent Systems Design and Applications,,,,,ERMINE (1),
ISDG 2019 - 12th International Meeting on Game Theory. Workshop,,NEO (2),,,,
ISDS 2023 - 1rst International Conference on Intelligent Systems and Data Science,,,,,,LEMON (1)
ISEA 2023 - Internation Symposium on Electronic Art,,,,,,ANIMA (1)
ISEA 2024 - 28th International Symposium on Electronic Art,,,,,,ANIMA (1)
ISEC 2020 - International Statistical Ecology Conference,,,PLEIADE (2) HiePACS (1),,,
ISEC 2021 - Innovations in Software Engineering Conference,,,,DiverSe (1),,
ISESL 2020 - First International Workshop on Information Systems Engineering for Smarter Life,,,MIMOVE (1),,,
ISFA 2018 - International Symposium on Flexible Automation,Realopt (1),,,,,
ISGC 2022 - International Symposium on Grids & Clouds 2022,,,,,NEO (1),
ISGS 2022 - 9th Conference of the International Society for Gesture Studies,,,,,MULTISPEECH (1),
ISGT Europe 2018 - IEEE PES Innovative Smart Grid Technologies Conference Europe,FLUMINANCE (1),,,,,
ISGT-Europe 2018 - 8th IEEE PES Innovative Smart Grid Technologies Conference Europe,DATAMOVE (1) MYRIADS (1),,,,,
ISGT-Europe 2019 -  IEEE PES Innovative Smart Grid Technologies Europe,,SEQUEL (1) XPOP (1),,,,
ISI 2018 - IEEE Intelligence and Security Informatics,RESIST (1),,,,,
ISI WSC 2019 - 62nd ISI World Statistics Congress,,MODAL (1) CELESTE (1),,,,
ISIE 2023 - 11th International Conference on Industrial Ecology,,,,,,STEEP (1)
ISIT 2018 - IEEE International Symposium on Information Theory,SECRET (3),,,,,
ISIT 2019 - IEEE International Symposium on Information Theory,,SECRET (1) MARACAS (1),,,,
ISIT 2020 - IEEE International Symposium on Information Theory,,,Sirocco (1),,,
ISIT 2021 - IEEE International Symposium on Information Theory,,,,MARACAS (2) NEO (1) COSMIQ (1),,
ISIT 2022 - IEEE International Symposium on Information Theory,,,,,NEO (2) TRiBE (1) COSMIQ (1) QINFO (1),
ISIT 2023 - IEEE International Symposium on Information Theory,,,,,,NEO (2) QINFO (1)
ISIT 2023 - International Symposium on Information Theory,,,,,,Sirocco (1) ERMINE (1)
"ISIVC INTERNATIONAL SYMPOSIUM ON SIGNAL, IMAGE, VIDEO AND COMMUNICATIONS",,,SIMBIOTX (1),,,
"ISIVC'2018 - 9th International Symposium on Signal, Image, Video and Communications",GeoStat (1),,,,,
"ISIVC'2020: The 10th International Symposium on Signal, Image, Video and Communications",,,,SIMBIOTX (1),,
ISIoT 2019 - 1st International Workshop on  Intelligent Systems for the Internet of Things,,SEQUEL (1),,,,
ISIoT 2019 - 1st International Workshop on Intelligent Systems for IoT,,TRiBE (1),,,,
"ISMA 2018, 28th Conference on Noise and Vibration Engineering",I4S (1),,,,,
ISMA 2019 - International Symposium on Music Acoustics,,Magique 3D (3),,,,
ISMA 2019 - International symposium on Music Acoustics,,Magique 3D (1),,,,
ISMA 2022 - International Conference on Noise and Vibration Engineering,,,,,I4S (4),
ISMAR 2018 - International Symposium on Mixed and Augmented Reality,TYREX (1),,,,,
ISMAR 2019 - 18th IEEE International Symposium on Mixed and Augmented Reality,,Hybrid (2) MIMETIC (1) MAGRIT-POST (1),,,,
ISMAR 2019 Workshop Mixed Reality and Accessibility,,Potioc (1),,,,
ISMAR 2020 - 19th IEEE International Symposium on Mixed and Augmented Reality,,,Hybrid (2),,,
ISMAR 2020 - IEEE International Symposium on Mixed and Augmented Reality,,,RITS (1) Hybrid (1),,,
ISMAR 2022 - 21st IEEE International Symposium on Mixed  and Augmented Reality,,,,,Hybrid (1),
ISMAR 2022 - 21st IEEE International Symposium on Mixed and Augmented Reality,,,,,Potioc (1) TANGRAM (1) Hybrid (1),
ISMAR 2023 - 22nd IEEE International Symposium on Mixed and Augmented Reality,,,,,,Hybrid (2) LOKI (1) Sirocco (1)
ISMAR 2023 - IEEE International Symposium on Mixed and Augmented Reality,,,,,,Hybrid (1)
ISMB 2018 - 3DSIG: Structural Bioinformatics and Computational Biophysics,Dyliss (1),,,,,
ISMIR 2020 - 21st International Society for Music Information Retrieval,,,PANAMA (1),,,
ISMIR 2022 - 23rd International Society for Music Information Retrieval Conference,,,,,WILLOW (1),
ISMM 2019 - 14th International Symposium on Mathematical Morphology,,OPIS (1),,,,
ISMM 2019 - International Symposium on Mathematical Morphology and Its Application to Signal and Image Processing,,OPIS (1),,,,
ISMM 2019 - International Symposium on Mathematical Morphology and Its Applications to Signal and Image Processing,,OPIS (1),,,,
ISMP,Realopt (1),,,,,
ISMP 2018 - 23rd International Symposium on Mathematical Programming,INOCS (2) Realopt (1),,,,,
ISMRM & ISMRT 2023 -  Annual Meeting & Exhibition - Annual Meeting of the International Society for Magnetic Resonance in Medicine,,,,,,MIND (1)
ISMRM & ISMRT Annual Meeting & Exhibition,,,,,,EMPENN (1)
ISMRM & SMRT Virtual Conference & Exhibition,,,ATHENA (1),,,
ISMRM 2018,VisAGeS (2),,,,,
ISMRM 2018 - Annual Meeting,VisAGeS (1),,,,,
ISMRM 2018 - International Society for Magnetic Resonance in Medicine,VisAGeS (2) VisAGeS (2) ATHENA (1),,,,,
ISMRM 2019 - 27th Annual Meeting & Exhibition,,Empenn (3) PARIETAL (1),,,,
ISMRM 2019 - 27th Annual Meeting and Exhibition,,PARIETAL (2) OPIS (2),,,,
ISMRM 2019 - 27th Annual Meeting of International Society for Magnetic Resonance in Medicine,,ATHENA (4),,,,
ISMRM 2020 - 28th Annual Meeting & Exhibition,,,PARIETAL (2) ATHENA (1),,,
ISMRM 2020 - 28th Annual Meeting & Exhibition of the International Society for Magnetic Resonance in Medicine,,,ATHENA (2) PARIETAL (1),,,
