Siid;Sigle;Type;Principale;Nom du responsable;Prénom du responsable;Date début fonction;Date fin fonction;Type fonction;CRI;Site;Statut actuel;Date début statut actuel;Date fin statut actuel;Libellé français;Libellé anglais;Domaine français;Domaine anglais;Thème français;Thème anglais;Partenaires (sigles);Partenaires (libellés);Institut(s) CNRS impliqué(s);Laboratoires (sigles);Laboratoires (libellés);Date de création;Date d'arrêt;Dates d'évaluations;Num. national;idHAL;Décisions INRIA;Code structure;Mots clés (français);Mots clés (anglais);Unnamed: 34
SR0938ZR;OCKHAM;EP;principal;Gribonval;Remi;01-03-2023;;Principal;Centre Inria de Lyon;Ecole normale supérieure de Lyon - Laboratoire de l'Informatique du Parallélisme (LIP);Décision signée;01/03/2023;28/02/2027;Optimisation, Connaissances pHysiques, Algorithmes et Modèles;Optimization, pHysical Knowledge, Algorithms and Models;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Optimisation, apprentissage et méthodes statistiques;Optimization, machine learning and statistical methods;ENS LYON, U. LYON 1 (UCBL);Ecole normale supérieure de Lyon, Université Claude Bernard (Lyon 1);INS2I, INSMI;LIP [U. LYON 1 (UCBL), ENS LYON, CNRS, INRIA];Laboratoire de l'Informatique du Parallélisme (LIP);01/03/2023;28/02/2027;;202324392T;;16023-C;121029-0;Optimisation, Traitement du Signal, Apprentissage Statistique, Problèmes Inverses, Graphes, Parcimonie;Optimization, Signal Processing, Statistical Learning, Inverse Problems, Graphs, Sparsity;
SR0916ER;ODYSSEY;EP;principal;Memin;Etienne;01-03-2022;;Principal;Centre Inria de l'Université de Rennes;Centre Inria de l'Université de Rennes;Décision signée;01/03/2022;28/02/2026;Océan Dynamique Observations Analyse;Ocean DYnamicS obSErvation analYsis;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Sciences de la planète, de l'environnement et de l'énergie;Earth, Environmental and Energy Sciences;UBO, IMT ATLANTIQUE, IFREMER, CNRS, U. RENNES;Université de Bretagne Occidentale, Ecole Nationale Supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire, Institut Français de Recherche pour l'Exploitation de la Mer, CNRS, Université de Rennes;;IRMAR [U. RENNES 1, ENS CACHAN, CNRS, INSA RENNES, U. RENNES 2], LAB-STICC [], LOPS [];Institut de recherche mathématique de Rennes (IRMAR), Laboratoire des sciences et techniques de l'information, de la communication et de la connaissance, Laboratoire d'océanographie physique et spatiale;01/03/2022;28/02/2026;;202224252V;;15348-C, 16258-M;031134-0;;;
SR0949SR;OLAS;EP;principal;Sangiorgi;Davide;01-10-2023;;Principal;Centre Inria d'Université Côte d'Azur;Centre Inria d'Université Côte d'Azur;Décision signée;01/10/2023;30/09/2027;Fondements opérationnels, logiques et algébriques des systèmes logiciels;Operational, Logical, and Algebraic foundations for Software systems;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Preuves et vérification;Proofs and Verification;U. DE BOLOGNE - UNIBO (ITALIE);Université de Bologne (Italie);;;;01/10/2023;30/09/2027;;202324453J;;16502-C;041174-0;;;
SR0876PR;OPIS;EP;principal;Chouzenoux;Emilie;01-05-2023;;Principal;Centre Inria de Saclay;CentraleSupélec - Centre de Vision Numérique (CVN);Décision signée;01/05/2019;31/12/2027;OPtimisation Imagerie et Santé;OPtImization for large Scale biomedical data;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Neurosciences et médecine numériques;Computational Neuroscience and Medicine;UNIV. PARIS-SACLAY;Université Paris-Saclay;;;;01/05/2019;31/12/2027;15/05/2022;201923238F;;13572-C, 15197-P, 16129-CR, 16130-N, 16555-P;111091-0;Optimisation, imagerie biomédicale, problèmes inverses, apprentissage, réseaux de neurones, graphes;Optimisation, biomedical imaging, inverse problems, machine learning, neural networks, graphs;
SR0042HR;ORPAILLEUR;EP;principal;Couceiro;Miguel;01-10-2019;30-06-2020;Par intérim;Centre Inria de l'Université de Lorraine;Centre Inria de l'Université de Lorraine;Terminée;01/07/2020;;Représentation de connaissances, raisonnements;Knowledge  representation, reasonning;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Représentation et traitement des données et des connaissances;Data and Knowledge Representation and Processing;CNRS, U. DE LORRAINE;CNRS, Université de Lorraine;INS2I;LORIA [CNRS, INRIA];Laboratoire lorrain de recherche en informatique et ses applications (LORIA);01/01/2008;30/06/2020;11/10/2011, 07/10/2015, 03/10/2019;200818291B;;6155-C, 8348-P, 8929-P, 11684-P, 13801-CR, 13802-N;051025-1;découverte de connaissances, fouille de données, ingénierie des connaissances, explications et équité des algorithmes d'apprentissage;Knowledge Discovery, Data Mining, Knowledge Engineering, explanations and fairness of machine learning algorithms;
SR0482BR;OURAGAN;Equipe;principal;Rouillier;Fabrice;01-01-2012;31-12-2013;Principal;Centre Inria de Paris;Sorbonne Université;Terminée;30/04/2019;;OUtils de Résolution Algébriques pour la Géométrie et ses ApplicatioNs;OUtils de Résolution Algébriques pour la Géométrie et ses ApplicatioNs;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Algorithmique, calcul formel et cryptologie;Algorithmics, Computer Algebra and Cryptology;;;;IMJ-PRG [UPMC, U. PARIS 7 (UPD), CNRS];Institut de Mathématiques de Jussieu;01/01/2012;30/04/2019;;201221216N;;8283-C, 9831-P, 10493-P, 11429-P, 11941-P, 12543-P, 12918-P, 13301-P, 13610-F;021112-0;Résolution de systèmes polynomiaux, Topologie, Géométrie Algorithmique, Logiciels, Robotique.;Polynomial System Solving, Topology, Computational Geometry, Software, Robotics.;
SR0875NR;OURAGAN;EP;principal;Rouillier;Fabrice;01-05-2019;;Principal;Centre Inria de Paris;Sorbonne Université;Décision signée;01/05/2019;31/12/2024;OUtils de Re?solution Alge?briques, Ge?ome?triques et leurs ApplicatioNs;Tools for resolutions in algebra, geometry and their applications;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Algorithmique, calcul formel et cryptologie;Algorithmics, Computer Algebra and Cryptology;CNRS, SORBONNE UNIVERSITE, U PARIS CITE;CNRS, Sorbonne Université, Université Paris Cité;INSMI;IMJ-PRG [UPMC, U. PARIS 7 (UPD), CNRS];Institut de Mathématiques de Jussieu;01/05/2019;31/12/2024;;201221216N;;13589-C, 16661-P, 17000-P;021112-0;Résolution de systèmes polynomiaux, Topologie, Géométrie Algorithmique, Logiciels, Robotique.;Polynomial System Solving, Topology, Computational Geometry, Software, Robotics.;
SR0750NR;PACAP;EP;principal;Rohou;Erven;01-07-2016;;Principal;Centre Inria de l'Université de Rennes;Centre Inria de l'Université de Rennes;Décision signée;01/07/2016;31/12/2025;Pushing Architecture and Compilation for Application Performance;Pushing Architecture and Compilation for Application Performance;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Architecture, langages et compilation;Architecture, Languages and Compilation;U. RENNES;Université de Rennes;INS2I;IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS];Institut de recherche en informatique et systèmes aléatoires (IRISA);01/07/2016;31/12/2025;19/03/2020;201622151M;;11707-C, 14582-P, 15177-P;031081-2;performance, compilation, microarchitecture, garantie de temps d'exécution, fautes, sécurité, efficacité énergétique;performance, compilation, microarchitecture, worst-case execution time, faults, security, power efficiency;
SR0561SR;PANAMA;EP;principal;Bimbot;Frederic;01-07-2019;;Principal;Centre Inria de l'Université de Rennes;Centre Inria de l'Université de Rennes;Terminée;31/12/2020;;Parcimonie et Nouveaux Algorithmes pour le Signal et la Modélisation Audio;Parcimonie et Nouveaux Algorithmes pour le Signal et la Modélisation Audio;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Langue, parole et audio;Language, Speech and Audio;CNRS, U. RENNES 1;CNRS, Université Rennes 1;INS2I;IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS];Institut de recherche en informatique et systèmes aléatoires (IRISA);01/01/2013;31/12/2020;08/10/2015, 02/10/2019;201321091Y;;9139-C, 11683-P, 13595-CR, 13596-N, 14340-P, 14625-F;031018-1;"modélisation parcimonieuse; traitement du signal audio et musical; séparation de sources; apprentissage automatique; problèmes inverses";"sparse modeling; audio and music signal processing; source separation; machine learning; inverse problems";
SR0891SR;PARADYSE;EP;principal;Dujardin;Guillaume;01-03-2020;;Principal;Centre Inria de l'Université de Lille;Centre Inria de l'Université de Lille;Décision signée;01/03/2020;31/12/2026;Systèmes de particules et systèmes dynamiques;PARticles And DYnamical SystEms;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Schémas et simulations numériques;Numerical schemes and simulations;UNIVERSITE DE LILLE, CNRS;Université de Lille, CNRS;INSMI;LPP [U. LILLE 1 (USTL), CNRS];Laboratoire Paul Painlevé (LPP);01/03/2020;31/12/2026;12/01/2022;202023564F;;14158-C, 15187-P, 15855-P, 16224-P;101062-0;Modelisation, Analyse Numerique, Analyse, Simulation, Interactions avec la Physique;Modeling, Numerical Analysis, Analysis, Simulation, Interaction with Physics;
SR0367NR;PARIETAL;EP;principal;Thirion;Bertrand;01-07-2009;;Principal;Centre Inria de Saclay;Centre de recherche Inria de Saclay;Terminée;31/03/2022;;Modélisation de la structure, du fonctionnement et de la variabilité du cerveau à partir d'IRM à haut champ;Modelling brain structure, function and variability based on high-field MRI data.;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Neurosciences et médecine numériques;Computational Neuroscience and Medicine;CEA-SACLAY;Centre CEA-Saclay;;CEA NEUROSPIN [CEA-SACLAY, I2BM];Département NEUROSPIN;01/07/2009;31/03/2022;07/10/2009, 16/10/2013, 10/10/2017, 15/05/2022;200919007A;;6938-C, 10319-M, 10211-P, 13242-P, 15207-P;111016-1;;;
SR0367NR;PARIETAL;EP;;;;;;;Centre Inria de Saclay;Commissariat à l?énergie atomique et aux énergies alternatives  Paris-Saclay - Neurospin;Terminée;31/03/2022;;Modélisation de la structure, du fonctionnement et de la variabilité du cerveau à partir d'IRM à haut champ;Modelling brain structure, function and variability based on high-field MRI data.;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Neurosciences et médecine numériques;Computational Neuroscience and Medicine;CEA-SACLAY;Centre CEA-Saclay;;CEA NEUROSPIN [CEA-SACLAY, I2BM];Département NEUROSPIN;01/07/2009;31/03/2022;07/10/2009, 16/10/2013, 10/10/2017, 15/05/2022;200919007A;;6938-C, 10319-M, 10211-P, 13242-P, 15207-P;;;;
SR0521SR;PARKAS;Equipe;principal;Pouzet;Marc;01-01-2012;;Principal;Centre Inria de Paris;Ecole Normale supérieure Paris;En cours de fermeture;01/01/2024;31/12/2024;Parallélisme de Kahn Synchrone;Parallélisme de Kahn Synchrone;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Systèmes embarqués et temps réel;Embedded and Real-time Systems;CNRS, ENS PSL;CNRS, Ecole normale supérieure de Paris;INS2I;DI-ENS [CNRS, INRIA, ENS PSL];Département d'Informatique de l'Ecole Normale Supérieure;01/01/2012;31/12/2024;20/03/2012, 24/03/2016, 19/03/2020;201120983P;;8735-C, 11960-P, 14584-P, 15178-P, 16674-P, 17110-P;021108-1;"langages synchrone; parallélisme déterministe; sémantique; typage; compilation; optimisation; verification";"synchronous language; déterministic parallelism; semantics; typing; compilation; verification";
SR0955YR;PARMA;EP;principal;Gallouët;Thomas;01-01-2024;;Principal;Centre Inria de Saclay;UP Saclay - Laboratoire de Mathématiques d'Orsay (LMO);Décision signée;01/01/2024;31/12/2027;Méthodes particulaires utilisant Monge-Ampère;Particle methods using Monge-Ampère;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Optimisation, apprentissage et méthodes statistiques;Optimization, machine learning and statistical methods;CNRS, UNIV. PARIS-SACLAY;CNRS, Université Paris-Saclay;INSMI;LMO [U. PARIS 11 (P.-SUD), CNRS];Laboratoire de mathématiques d'Orsay de l'Université de Paris-Sud (LMO);01/01/2024;31/12/2027;;202424470Y;;16634-C;111110-0;;;
SR0140OR;PARSIFAL;EP;principal;Miller;Dale;01-07-2009;;Principal;Centre Inria de Saclay;Laboratoire d'Informatique de l'Ecole polytechnique;Terminée;30/11/2019;;Recherche de preuve et raisonnement sur des spécifications logiques;Proof search and reasoning with logic specifications;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Preuves et vérification;Proofs and Verification;EC. POLYTECHNIQUE, CNRS;Ecole Polytechnique, CNRS;INS2I;LIX [EC. POLYTECHNIQUE, CNRS];Laboratoire d'informatique de l'école polytechnique (LIX);01/07/2007;30/11/2019;22/03/2011, 17/03/2015, 20/03/2019;200718374W;;5806-C, 6075-R, 8339-P, 11317-P, 14056-F;111028-0;;;
SR0887MR;PARTOUT;EP;principal;Strassburger;Lutz;01-12-2019;;Principal;Centre Inria de Saclay;Centre de recherche Inria de Saclay;Décision signée;01/12/2019;31/12/2024;Automatisation et ReprésenTation: fOndation du calcUl et de la déducTion;Proof Automation and RepresenTation: a fOundation of compUtation and deducTion;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Preuves et vérification;Proofs and Verification;CNRS, IP-PARIS;CNRS, Institut Polytechnique de Paris;INS2I;LIX [EC. POLYTECHNIQUE, CNRS];Laboratoire d'informatique de l'école polytechnique (LIX);01/12/2019;31/12/2024;;201923495K;;14005-C, 16659-P, 16998-P;111095-0;;;
SR0900AR;PASTA;EP;principal;Deaconu;Madalina;01-12-2020;;Principal;Centre Inria de l'Université de Lorraine;Institut Élie Cartan de Lorraine ? UMR 7502;Décision signée;01/12/2020;31/12/2027;Processus Aléatoires Spatio-Temporels et Applications;Space-time random processes and applications;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Approches stochastiques;Stochastic approaches;U. DE LORRAINE, CNRS;Université de Lorraine, CNRS;INSMI;IECL [CNRS, U. DE LORRAINE];Institut Elie Cartan de Lorraine (IECL);01/12/2020;31/12/2027;01/12/2022;202023683K;;14537-C, 15813-P, 16819-P;051112-0;modélisation stochastique, analyse de données;stochastic modelling, data analysis;
SR0012WR;PERCEPTION;EP;principal;Horaud;Patrice;01-01-2008;;Principal;Centre Inria de l'Université Grenoble Alpes;Centre de recherche Inria de l'Université Grenoble Alpes;Terminée;16/11/2021;;Interprétation et Modélisation d'Images et de Vidéos;Interpretation and Modelling of Images and Videos;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Vision, perception et interprétation multimedia;Vision, perception and multimedia interpretation;;;INSMI;;;01/01/2008;30/06/2021;20/10/2010, 16/10/2014, 03/10/2018;200818261U;;6123-C, 8096-P, 11314-P, 13731-P, 14032-P, 14336-P, 14428-P, 14732-P;071063-1;analyse d'images, vision par ordinateur, reconstruction de surfaces, reconstruction photometric, analyse vidéo;image analysis, computer vision, surface reconstruction, surface rendering, video analysis;
SR0807WR;PERVASIVE;EP;principal;Crowley;James;01-11-2017;;Principal;Centre Inria de l'Université Grenoble Alpes;Centre de recherche Inria de l'Université Grenoble Alpes;Terminée;30/09/2020;;Interaction située avec les objets et environnements intelligents;Pervasive interaction with smart objects and environments;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Robotique et environnements intelligents;Robotics and Smart environments;UGA, CNRS;Université de Grenoble Alpes, CNRS;INS2I;LIG [UJF (GRENOBLE), GRENOBLE INP, CNRS, UPMF (GRENOBLE)];Laboratoire d'Informatique de Grenoble (LIG);01/11/2017;30/09/2020;;201622141B;;12499-C, 14265-P, 14421-F;071127-1;Objets Intelligents, Intelligence Ambiante, Interaction Multimodale, Robotique Sociale, Informatique Ubiquitaire;Smart Objects, Ambiant Intelligence, Multimodal Interaction, Social Robotics, Pervasive Computing;
SR0758TR;PESTO;EP;principal;Kremer;Steve;01-11-2016;;Principal;Centre Inria de l'Université de Lorraine;Centre Inria de l'Université de Lorraine;Décision signée;01/11/2016;31/12/2024;Techniques de Preuves pour les Protocoles de Sécurité;Proof techniques for security protocols;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Sécurité et confidentialité;Security and Confidentiality;CNRS, U. DE LORRAINE;CNRS, Université de Lorraine;INS2I;LORIA [CNRS, INRIA];Laboratoire lorrain de recherche en informatique et ses applications (LORIA);01/11/2016;31/12/2024;21/03/2019;201622052E;;11873-C, 14026-P, 16660-P, 16999-P;051105-1;protocoles de sécurité, méthodes formelles, déduction automatique, vote électronique;security protocols, formal methods, automated deduction, electronic voting;
